ID	Task_duration_Pr_Slider	Working_time_Pr_Slider	mouse_dist__Pr_Slider	speed_mean__Pr_Slider	speed_sd__Pr_Slider	pos_accel_mean_Pr_Slider	pos_accel_sd_Pr_Slider	neg_accel_mean_Pr_Slider	neg_accel_sd_Pr_Slider	angle_mean__Pr_Slider	angle_sd__Pr_Slider	x_flips__Pr_Slider	y_flips__Pr_Slider	Pr_valence	Pr_arousal	Pr_MDBF_GS	Pr_MDBF_RU	Pr_MDBF_WM	Pr_stress	Task_duration_Con_Slider	Working_time_Con_Slider	mouse_dist__Con_Slider	speed_mean__Con_Slider	speed_sd__Con_Slider	pos_accel_mean_Con_Slider	pos_accel_sd_Con_Slider	neg_accel_mean_Con_Slider	neg_accel_sd_Con_Slider	angle_mean__Con_Slider	angle_sd__Con_Slider	x_flips__Con_Slider	y_flips__Con_Slider	Co_valence	Co_arousal	Co_MDBF_GS	Co_MDBF_RU	Co_MDBF_WM	Co_stress	condition	jahr	sex	schule
wVcPNpaf3LS1D2soVFrNTm9KBMX2	35.513	29.681	9422.043860601801	321.133056640625	644.3531494140625	5.435598850250244	18.463367462158203	-5.107372283935547	13.37442398071289	4.381353938422333	15.385550084918902	23.0	29.0	2.0	1.0	1.5	1.25	1.75	2.0	76.951	55.839	9852.792983622954	177.71994018554688	512.421142578125	2.9833719730377197	13.105777740478516	-2.930379867553711	10.493070602416992	2.785284697492378	12.367182007153215	26.0	36.0	2.0	1.0	1.75	1.5	2.0	2.0	0.0	1970.0	1.0	3.0
wW9YUcJZZ1f9j52sNXc4DbUVti12	55.581	44.445	9714.512173656292	220.50872802734375	364.2192077636719	3.583341598510742	7.356560230255127	-3.4956507682800293	6.6241044998168945	5.968492413800846	16.227629204669004	20.0	56.0	1.0	3.0	1.75	2.25	1.75	2.0	50.177	39.934	10094.058624800913	254.03445434570312	425.34619140625	3.760253667831421	8.848039627075195	-3.6679880619049072	8.079471588134766	4.8178181968886165	15.497220207234895	19.0	45.0	2.0	2.0	1.5	2.5	2.0	2.0	1.0	1954.0	2.0	2.0
wXwfxWDYGCYETvoIiUUdqkX0hrE3	56.593	46.222	11253.582076326813	244.6962890625	686.4683227539062	5.157866477966309	18.272483825683594	-5.033649444580078	18.34790802001953	6.671487426280152	18.620643929337636	28.0	73.0	2.0	4.0	2.75	2.75	3.0	1.0	39.361	30.96	11768.878209260409	382.9145202636719	973.699462890625	8.024112701416016	25.561660766601562	-7.4106831550598145	25.778100967407227	7.299378683322164	19.527180250220216	31.0	58.0	2.0	4.0	3.0	3.25	3.0	1.0	1.0	1949.0	1.0	2.0
weEvSZQwuGYsLwfH7kkXgKhfzW72	31.588	25.956	9309.507542633068	364.0081481933594	721.1963500976562	5.543015003204346	14.381710052490234	-5.098968029022217	11.250748634338379	3.628697898899432	18.5483401409753	21.0	26.0	1.0	2.0	2.0	2.0	2.0	1.0	30.026	23.988	9567.861462307443	402.6877746582031	742.5916137695312	7.061153888702393	19.830385208129883	-6.0159525871276855	12.80129337310791	4.292725890244577	19.87538952863322	21.0	23.0	1.0	2.0	1.75	2.0	2.25	1.0	0.0	1964.0	1.0	3.0
wqmwSm9c9sVjXKSujV2eOiVazvx2	41.658	34.809	10090.563456131484	291.46630859375	596.645751953125	4.160054683685303	9.920201301574707	-4.009594440460205	8.99757194519043	7.4406374615623	20.639402367975748	28.0	40.0	1.0	3.0	2.75	3.0	3.0	1.0	43.258	34.341	9546.430730447237	278.8907775878906	512.717529296875	3.74835467338562	8.100172996520996	-3.602053165435791	7.154557704925537	6.923276705518846	20.363876257758943	26.0	41.0	1.0	3.0	2.5	2.25	3.0	1.0	1.0	1937.0	2.0	5.0
wrAa1zIkCjSaqwLEaVSBSvfSqrY2	40.188	32.553	9766.18530463826	302.6866760253906	555.5431518554688	3.9862308502197266	8.28792953491211	-3.9778823852539062	8.352532386779785	5.005449932923107	18.375418896376072	30.0	74.0	0.0	1.0	2.0	2.0	2.25	1.0	43.879	36.492	9680.836697060038	267.24188232421875	521.4598388671875	3.44439435005188	7.817049980163574	-3.3533926010131836	7.125005722045898	5.79093643637325	19.36962791631044	36.0	68.0	2.0	1.0	1.5	1.75	2.25	2.0	0.0	1950.0	2.0	2.0
wwqBAGoMg1bfPdP8FjHn8p6tXJi2	38.198	32.092	9312.181006480587	291.4610900878906	831.3560180664062	6.931240558624268	22.69321060180664	-6.718861103057861	21.2745304107666	4.318138409990563	21.391894805856772	27.0	27.0	2.0	2.0	2.0	2.0	1.75	2.0	33.039	24.192	9753.590920568442	407.41815185546875	976.5266723632812	8.930208206176758	22.61543846130371	-8.618757247924805	22.932178497314453	5.7770772211783274	22.030595184525747	25.0	24.0	3.0	3.0	2.25	2.25	2.25	2.0	0.0	1973.0	2.0	3.0
x1ndbWfN7tSpglUsZVaIsRrWhqR2	38.33	31.538	11222.146752064717	358.30609130859375	905.6074829101562	6.417614459991455	22.54199981689453	-5.9061689376831055	18.764122009277344	5.643931427354462	20.77879982374465	32.0	45.0	1.0	4.0	2.75	3.75	2.5	0.0	31.527	24.995	9690.890575055106	391.78857421875	830.8112182617188	6.194627285003662	17.38189125061035	-5.684622764587402	13.578628540039062	5.512381168345408	19.450473942207818	22.0	38.0	0.0	4.0	2.5	3.25	3.0	1.0	1.0	1986.0	1.0	4.0
xA5Kwc5ydHNi8dG7vY9dnB4ANzH2	83.202	69.578	17255.36575512817	248.0823211669922	627.9794311523438	5.030229091644287	15.868720054626465	-4.977935791015625	19.15213966369629	8.175295261962761	21.556356158083393	103.0	99.0	0.0	4.0	3.0	4.0	3.0	0.0	71.529	51.061	13514.298845407098	264.7526550292969	553.6586303710938	4.625272274017334	11.382023811340332	-4.444018363952637	11.535455703735352	8.312496053807063	20.913982642429094	67.0	80.0	0.0	4.0	3.0	4.0	3.0	0.0	1.0	1941.0	2.0	5.0
xAc9iR5wSQREvj3He4bd1oUCXli2	46.783	37.952	10601.30046419497	279.9023132324219	616.3186645507812	4.779318332672119	12.326616287231445	-5.0521392822265625	13.285772323608398	5.832868895052535	20.231062349391568	38.0	39.0	0.0	4.0	3.0	3.0	3.0	0.0	34.695	27.774	9659.291068189512	348.08258056640625	652.9816284179688	5.8624653816223145	13.128807067871094	-6.194998741149902	15.294549942016602	5.248366949504415	17.117061605310656	25.0	35.0	0.0	4.0	3.0	4.0	3.0	0.0	0.0	1943.0	2.0	2.0
xHNVLLgMv3XuDb8VSFzAxZcqrBY2	41.183	33.515	9188.051305046212	278.42578125	527.6771850585938	4.240889072418213	11.19664192199707	-3.7036678791046143	8.224040985107422	4.077557183899823	17.877817895787135	21.0	43.0	1.0	4.0	2.75	4.0	2.25	0.0	35.279	27.636	9363.41053388894	340.3638916015625	613.6786499023438	4.844619274139404	10.851069450378418	-4.482529163360596	10.194703102111816	5.157134474563829	17.832878771441045	19.0	37.0	1.0	4.0	2.75	3.75	2.5	0.0	0.0	1988.0	1.0	4.0
