ID	Task_duration_Pr_FollowBox	Working_time_Pr_FollowBox	mouse_dist__Pr_FollowBox	speed_mean__Pr_FollowBox	speed_sd__Pr_FollowBox	pos_accel_mean_Pr_FollowBox	pos_accel_sd_Pr_FollowBox	neg_accel_mean_Pr_FollowBox	neg_accel_sd_Pr_FollowBox	angle_mean__Pr_FollowBox	angle_sd__Pr_FollowBox	x_flips__Pr_FollowBox	y_flips__Pr_FollowBox	In_target_ratio__Pr_FollowBox	Pr_valence	Pr_arousal	Pr_MDBF_GS	Pr_MDBF_RU	Pr_MDBF_WM	Pr_stress	Task_duration_Con_FollowBox	Working_time_Con_FollowBox	mouse_dist__Con_FollowBox	speed_mean__Con_FollowBox	speed_sd__Con_FollowBox	pos_accel_mean_Con_FollowBox	pos_accel_sd_Con_FollowBox	neg_accel_mean_Con_FollowBox	neg_accel_sd_Con_FollowBox	angle_mean__Con_FollowBox	angle_sd__Con_FollowBox	x_flips__Con_FollowBox	y_flips__Con_FollowBox	In_target_ratio__Con_FollowBox	Co_valence	Co_arousal	Co_MDBF_GS	Co_MDBF_RU	Co_MDBF_WM	Co_stress	condition	jahr	sex	schule
aAlgJSi6GsY8t4W11tEAvn3IaJg2	26.007	25.033	7630.047757693048	304.95794677734375	529.3628540039062	7.265931129455566	17.077896118164062	-6.71400785446167	14.599419593811035	6.632893505609207	15.29089365600068	21.0	21.0	0.1375	1.0	3.0	2.5	3.0	2.0	1.0	28.765	25.04	6865.919574135976	274.2528381347656	216.27389526367188	5.358788013458252	5.94485330581665	-5.407686233520508	5.912297248840332	9.839107091097558	12.66310782799192	11.0	12.0	0.5510360706062931	2.0	3.0	2.0	2.25	1.75	2.0	1.0	1977.0	2.0	4.0
aDWuny77RIdispKsfKtTVOrv1bk1	33.648	25.066	7808.114054690204	311.701171875	426.508056640625	4.905232906341553	10.995957374572754	-4.751192092895508	8.09196949005127	10.80095940646026	19.990345314307522	59.0	28.0	0.11431143114311432	0.0	4.0	3.0	4.0	3.0	0.0	26.556	25.152	8971.233101813265	356.8509826660156	368.65374755859375	6.646750450134277	9.421060562133789	-6.5575432777404785	8.717159271240234	12.678798042945441	20.006884386301312	77.0	59.0	0.21703703703703703	0.0	4.0	3.0	4.0	3.0	0.0	0.0	1925.0	2.0	3.0
aEl3C3YiSbVRWGI56CmkxDU1ZFE3	26.033	24.993	7039.430971142563	281.6899108886719	623.9718627929688	6.634055137634277	51.851951599121094	-7.072514057159424	52.34602355957031	7.930394006890255	11.408290441532696	13.0	12.0	0.5591805766312595	1.0	1.0	2.25	2.5	1.5	1.0	27.118	24.993	7047.745003344695	282.0226135253906	194.67425537109375	5.182960033416748	6.344366550445557	-4.881436824798584	5.551992893218994	7.847697159131101	10.430305051202978	12.0	11.0	0.7571225071225072	1.0	3.0	2.25	2.25	1.75	1.0	0.0	1990.0	1.0	4.0
aRdCfeC969fwY3AhSZvAspdakQm2	25.945	25.061	7275.692084224518	290.4468078613281	280.3622741699219	4.240689277648926	6.02119779586792	-4.46246337890625	6.505594730377197	7.97083101175127	12.402458448595008	10.0	14.0	0.508274231678487	2.0	3.0	2.0	3.25	1.75	2.0	26.124	25.028	7365.765912620763	294.3951110839844	259.0312194824219	4.026811122894287	5.831532001495361	-4.325218200683594	6.773312568664551	7.504432768196393	11.304129735651754	18.0	10.0	0.5682326621923938	2.0	2.0	2.0	2.5	1.5	2.0	1.0	1945.0	2.0	5.0
aao7oY4xKCYgOvkjEZsHAHzHwI53	26.162	25.004	7013.615371420848	280.6568603515625	173.9439239501953	6.284517288208008	5.931765079498291	-6.443215370178223	5.672057151794434	8.955160895691632	9.884314263461793	14.0	10.0	0.5584269662921348	2.0	1.0	1.25	1.5	1.5	2.0	26.407	25.046	7174.353443612411	286.57293701171875	164.36563110351562	6.594076633453369	5.625965595245361	-6.242372512817383	5.543946743011475	9.181599631869632	10.340644891898783	16.0	10.0	0.6108949416342413	3.0	1.0	1.0	1.25	1.5	3.0	0.0	1968.0	2.0	5.0
ahIhInNiTQTmWQLmQVIR5Gbxsz62	26.202	25.077	7352.0662680219075	293.3200378417969	165.1038818359375	4.445082187652588	4.571680545806885	-4.556523323059082	4.547160625457764	8.196040141837473	10.981375382615862	17.0	9.0	0.7910447761194029	1.0	2.0	2.25	3.25	2.5	1.0	28.984	25.059	7343.081972601368	293.13702392578125	167.5142059326172	4.4562811851501465	4.519850730895996	-4.575840950012207	4.439968109130859	8.552610208620186	10.785678447919889	15.0	10.0	0.8268194070080862	1.0	2.0	2.25	3.0	2.25	1.0	1.0	1973.0	1.0	3.0
ainHdRfoYUhALzfLd25D8Yqn0Lu1	26.169	24.999	7717.470821749168	308.8223571777344	256.04315185546875	4.838160037994385	6.462139129638672	-4.754051208496094	5.912041187286377	7.75347402176664	15.985091096502233	23.0	22.0	0.18134328358208956	2.0	2.0	2.25	3.25	1.75	0.0	26.015	24.999	7176.197738889189	287.16278076171875	209.20018005371094	4.326181411743164	4.696328639984131	-4.172001838684082	4.452518463134766	7.039982709702942	9.7356211142306	11.0	10.0	0.10848400556328233	2.0	2.0	1.75	2.5	1.75	0.0	0.0	1966.0	1.0	3.0
akSewaMRaOQAkjWEBJDPn91kXIx1	26.65	24.942	7326.080130362085	293.86602783203125	185.81944274902344	4.3111796379089355	5.389010906219482	-4.376842498779297	5.574174880981445	7.095055781048439	9.598946257477884	11.0	12.0	0.6611796982167353	2.0	2.0	1.75	2.0	2.5	1.0	26.718	24.977	7296.807928470473	292.16448974609375	191.1080322265625	4.685519695281982	5.644086837768555	-4.592504978179932	5.499178409576416	6.941117637482909	10.145989798989163	13.0	10.0	0.5044117647058823	3.0	1.0	1.25	1.25	2.0	2.0	0.0	1962.0	2.0	5.0
aoqPVm1Y4tO7nxndyxxgXqtcMb73	25.855	24.957	7166.057471668033	287.2743225097656	243.1800079345703	3.8977088928222656	9.852898597717285	-3.6127917766571045	7.052835464477539	7.605374699747168	12.206598901241513	23.0	14.0	0.4457652303120357	0.0	3.0	3.0	3.5	2.25	0.0	26.527	25.024	7085.351926690121	283.1875305175781	154.6425323486328	3.5357251167297363	5.246033668518066	-3.3537092208862305	4.0829315185546875	5.7990693189275895	9.121464980972988	12.0	12.0	0.7096317280453258	0.0	4.0	3.0	3.75	2.75	0.0	0.0	1962.0	2.0	3.0
arJgpJolPfe62ZGQvPpneAYa4Aw1	25.927	25.184	7081.703848002071	281.3549499511719	181.19171142578125	6.527988910675049	6.305991172790527	-5.9628987312316895	6.153296947479248	8.409519030344999	11.270104589210126	18.0	12.0	0.6087591240875913	2.0	3.0	1.75	2.25	2.0	1.0	28.947	25.214	7021.296763106766	278.6228942871094	165.0505828857422	5.7268967628479	5.659632682800293	-5.80011510848999	5.665097236633301	8.526275981153375	11.4109484394185	14.0	15.0	0.5471698113207547	2.0	3.0	2.0	2.75	1.75	1.0	0.0	1963.0	2.0	4.0
