ID	Task_duration_Pr_PointClick	Working_time_Pr_PointClick	mouse_dist__Pr_PointClick	speed_mean__Pr_PointClick	speed_sd__Pr_PointClick	pos_accel_mean_Pr_PointClick	pos_accel_sd_Pr_PointClick	neg_accel_mean_Pr_PointClick	neg_accel_sd_Pr_PointClick	angle_mean__Pr_PointClick	angle_sd__Pr_PointClick	x_flips__Pr_PointClick	y_flips__Pr_PointClick	total_dev_ideal_line__Pr_PointClick	mean_dev_ideal_line__Pr_PointClick	sd_dev_ideal_line__Pr_PointClick	Pr_valence	Pr_arousal	Pr_MDBF_GS	Pr_MDBF_RU	Pr_MDBF_WM	Pr_stress	Task_duration_Con_PointClick	Working_time_Con_PointClick	mouse_dist__Con_PointClick	speed_mean__Con_PointClick	speed_sd__Con_PointClick	pos_accel_mean_Con_PointClick	pos_accel_sd_Con_PointClick	neg_accel_mean_Con_PointClick	neg_accel_sd_Con_PointClick	angle_mean__Con_PointClick	angle_sd__Con_PointClick	x_flips__Con_PointClick	y_flips__Con_PointClick	total_dev_ideal_line__Con_PointClick	mean_dev_ideal_line__Con_PointClick	sd_dev_ideal_line__Con_PointClick	Co_valence	Co_arousal	Co_MDBF_GS	Co_MDBF_RU	Co_MDBF_WM	Co_stress	condition	jahr	sex	schule
tl6ykgDLLtebEDmuYFOf9ib1fTd2	27.368	23.697	4104.1529153961665	173.6105194091797	380.69873046875	5.517156600952148	16.088815689086914	-5.435313701629639	14.018259048461914	8.570110145839585	19.627837477106983	32.0	27.0	10980.485031336879	9.204094745462598	11.594706706613279	0.0	4.0	2.75	3.25	3.25	1.0	27.402	21.818	4222.623157876636	194.68064880371094	431.0475158691406	6.318604469299316	18.192628860473633	-6.3767852783203125	17.716135025024414	9.309427594927003	19.8934609142676	22.0	25.0	10989.748160360581	9.838628612677333	13.14683639822453	3.0	4.0	2.75	2.5	2.75	1.0	0.0	1946.0	2.0	5.0
tnMHuGrENsMan3inIwMyUIFoM4n2	26.608	22.929	3716.9910033891333	164.76023864746094	340.0095520019531	3.2013607025146484	8.61915397644043	-3.0345985889434814	7.229777812957764	5.645829893275521	14.951688286521602	23.0	14.0	4703.361255301916	6.006847069351106	5.345960866084682	1.0	2.0	2.0	2.75	1.5	1.0	23.619	19.585	3869.3876874955645	201.373291015625	438.7547302246094	3.870757579803467	10.370368003845215	-3.6828572750091553	9.517684936523438	6.62302424294613	17.682048423133082	20.0	20.0	5993.3597285980395	7.854993091216303	10.683586261030738	1.0	2.0	1.75	2.25	1.25	1.0	1.0	1981.0	2.0	3.0
tsbHg3jwQbS9flC1nKtcLJmqAfG3	18.471	16.332	4095.893637727154	255.1958770751953	540.9719848632812	6.3301591873168945	19.472728729248047	-5.901123046875	18.054086685180664	10.482915331649817	21.399745263998682	20.0	21.0	9916.045082779481	14.025523455133637	15.127570653416498	1.0	2.0	1.75	2.25	2.25	1.0	19.448	16.388	4149.178053430257	256.8355407714844	471.3529052734375	5.879950523376465	12.720919609069824	-5.778515338897705	13.692628860473633	13.147133921236515	23.184315130396783	26.0	24.0	9900.98051096711	12.345362233126073	15.636368881053466	3.0	1.0	1.75	2.0	2.0	2.0	0.0	1976.0	1.0	4.0
ttOQwgU7xERMBQnVk6QG1Asp9R23	23.799	20.44	5021.896874917306	248.5472412109375	626.1674194335938	6.041480541229248	16.89957046508789	-5.725849151611328	16.26641082763672	7.688815149590415	20.590949199092936	32.0	18.0	15420.810504995936	16.83494596615277	24.075308213432546	2.0	2.0	1.75	2.5	2.0	1.0	23.293	19.572	3931.73474038488	206.06576538085938	503.38372802734375	4.778899192810059	13.787456512451172	-4.4816131591796875	12.194673538208008	6.632357627376275	18.414629868163015	15.0	16.0	6647.269571905755	8.457085969345744	8.601304864065389	2.0	2.0	1.75	2.25	2.0	1.0	0.0	1950.0	1.0	2.0
uDLDuunqNNU5AmixTIqmnysoiMJ2	24.086	20.833	4285.690389809019	205.8448944091797	400.371826171875	3.0451066493988037	7.303652763366699	-2.999513864517212	7.396280288696289	9.015133250815271	23.85822362013632	28.0	22.0	8163.533881006376	8.768564856075592	11.919255455603695	0.0	3.0	2.25	3.25	1.25	1.0	26.579	20.127	5034.899096484311	252.186279296875	483.96722412109375	4.237044334411621	8.697219848632812	-4.378972053527832	11.225805282592773	11.600253609653672	27.297925047311583	40.0	42.0	14747.977225501807	13.286465968920547	19.450094371252202	1.0	3.0	2.25	3.0	1.75	1.0	1.0	1960.0	1.0	5.0
uFfopi2ZTzZJheq0HVHyzWQEWHj1	18.488	15.931	3693.6191028387866	232.08413696289062	411.6026611328125	4.290557861328125	9.453651428222656	-4.307162761688232	8.841553688049316	9.90773409673906	23.168354677570303	35.0	24.0	5968.097485556118	6.844148492610227	7.918251866759265	3.0	2.0	1.5	2.0	2.0	2.0	18.097	14.442	3996.9704788935665	276.9903259277344	473.9548645019531	5.307706832885742	12.146780014038086	-5.2156662940979	11.289471626281738	11.348616426943222	21.852228548499944	27.0	26.0	7888.189696818317	9.702570352790058	13.5709756784591	2.0	2.0	1.75	2.5	2.0	1.0	1.0	1964.0	1.0	5.0
uJGyYk537PMZcz9kwtBpDV3DBi23	17.52	15.387	4319.758092249209	281.5091552734375	439.6563720703125	5.133065700531006	10.806963920593262	-4.784847259521484	9.628686904907227	6.975356748472948	17.583036959673258	19.0	22.0	10305.663613027267	14.254029893537023	16.623154537718577	0.0	3.0	2.25	3.0	1.75	1.0	19.717	14.185	4254.120049973259	303.64886474609375	471.6164245605469	6.190537452697754	14.119057655334473	-5.915716171264648	11.4188871383667	8.221689905757023	16.906520535353252	23.0	21.0	11650.152678494323	16.54851232740671	20.72979719046744	1.0	3.0	2.25	2.25	2.0	3.0	1.0	1987.0	1.0	5.0
uQTweNG7KaPrClnknaEnFPe35q22	30.024	24.24	4121.391367855764	172.479248046875	357.8134460449219	2.954463481903076	7.015348434448242	-2.9058172702789307	6.93956995010376	8.061215515113117	20.242612129433983	32.0	27.0	7269.606446783246	6.360110627106952	8.168912469874869	0.0	4.0	3.0	4.0	2.5	0.0	25.755	21.716	4213.148271119395	198.2191619873047	375.5029602050781	3.1888535022735596	6.892176628112793	-3.2327396869659424	6.580689430236816	9.33570902986596	22.6692756685209	32.0	32.0	8853.130787875847	7.5026532100642775	11.896390714133348	1.0	4.0	3.0	4.0	3.0	0.0	0.0	1957.0	1.0	3.0
uSYqziJN9ESrKFrnIYKwFsji7Ft1	18.12	15.45	4086.240150420426	266.2912902832031	429.13739013671875	5.425005912780762	11.692031860351562	-5.22947359085083	11.806668281555176	8.35552357678672	19.011632455473748	24.0	23.0	6390.701258406143	8.730466200008392	12.515110084872559	1.0	3.0	1.5	1.75	2.0	1.0	18.222	15.056	4316.532421561077	290.9695129394531	477.6283264160156	6.53248929977417	16.108190536499023	-6.199185371398926	14.355215072631836	8.981963173718597	19.934299131470574	28.0	21.0	7139.805448199917	9.570784783109808	11.496470277555577	2.0	3.0	1.75	2.5	2.25	1.0	1.0	1971.0	2.0	3.0
uTF5puY4pdYFJwupj3xq6EHz4g83	24.632	19.783	3734.81180762047	191.52882385253906	326.2801513671875	3.511345148086548	7.7155842781066895	-3.34831166267395	6.9353156089782715	7.223180823085623	16.615349407437872	19.0	12.0	7802.860151099594	8.866886535340448	9.74592729523893	0.0	4.0	3.0	3.5	3.0	0.0	23.575	19.991	3780.197248723669	190.1986083984375	326.712158203125	3.334214448928833	7.404641628265381	-3.251831293106079	6.738792896270752	6.339979578841095	15.974187485918472	19.0	23.0	7184.717806568877	7.684190167453344	9.352499383098381	0.0	4.0	3.0	3.5	3.0	0.0	1.0	1946.0	2.0	3.0
